url,title,meal_type,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,ingredients
https://www.bbcgoodfood.com/recipes/creamy-courgette-bacon-pasta,Creamy Courgette Bacon Pasta,quick and easy,476.0,21.0g,9.0g,47.0g,5.0g,5.0g,22.0g,1.4g,"1 tsp olive oil, 150g diced pancetta or smoked bacon lardons, 4 courgettes coarsely grated, 1 garlic clove crushed, handful freshly grated parmesan, 1 small tub (200g) low-fat crème fraîche, 300g tagliatelle"
https://www.bbcgoodfood.com/recipes/creamy-curried-chicken-pie,Creamy Curried Chicken Pie,batch cooking,684.0,42.0g,19.0g,36.0g,4.0g,4.0g,38.0g,1.5g,"1 ½kg whole chicken, 2 onions 1 quartered, 1 chopped, 2 carrots 1 cut into 3-4 chunks, 1 finely chopped, 2 thick slices ginger, 2 garlic cloves crushed, small bunch parsley or coriander, leaves picked and chopped, stalks left whole, 50g butter, vegetable oil or rapeseed oil, for frying, 50g flour, 2-3 tbsp mild curry paste such as korma or tikka, ½ tsp ground turmeric, 1 chicken stock cube, 150ml double cream"
https://www.bbcgoodfood.com/recipes/creamy-garlic-pasta,Creamy Garlic Pasta,dinner,699.0,38.0g,23.0g,66.0g,2.0g,5.0g,20.0g,0.74g,"300g tagliatelle (any long pasta will work), 20g salted butter, 6 garlic cloves finely chopped, 2 tbsp plain flour, 150ml chicken stock, 200ml double cream, 85g parmesan grated, 20g flat-leaf parsley roughly chopped"
https://www.bbcgoodfood.com/recipes/creamy-halloumi-tomato-curry,Creamy Halloumi Tomato Curry,dinner,575.0,45.0g,24.0g,18.0g,14.0g,5.0g,23.0g,2.3g,"225g block halloumi, 2 tbsp flavourless oil (such as vegetable or sunflower oil), 1 large onion chopped, 2 garlic cloves crushed, thumb-sized piece of ginger grated, 2 tsp ground cumin, 2 tsp ground coriander, 1 tsp turmeric, 400g can chopped tomatoes, 100ml double cream, 80g fresh or frozen baby spinach, 2 tsp sugar, 1 tbsp garam masala, 1 tsp nigella seeds, cooked rice grains or naan, to serve"
https://www.bbcgoodfood.com/recipes/creamy-ham-leek-mushroom-spaghetti,Creamy Ham Leek Mushroom Spaghetti,quick and easy,384.0,11.0g,5.0g,53.0g,6.0g,8.0g,21.0g,1.38g,"2 tsp olive oil, 2 medium leeks thinly sliced, 200g chestnut mushroom sliced, 2 garlic cloves crushed, 300g spaghetti, 140g low-fat soft cheese, 85g wafer-thin smoked ham shredded, small pack basil, 25g grated parmesan"
https://www.bbcgoodfood.com/recipes/creamy-leek-pesto-squash-pie,Creamy Leek Pesto Squash Pie,batch cooking,660.0,30.0g,5.0g,67.0g,13.0g,17.0g,22.0g,1.4g,"300g squash peeled and chopped, 2 tbsp rapeseed oil, 2 large leeks sliced, 3-4 tbsp fresh pesto, 400g can cannellini beans rinsed, 200ml low-salt chicken stock, 2 tbsp half-fat crème fraîche, ½ x 250g pack filo pastry, 1 egg lightly beaten, 150g mixed  salad leaves drizzled with a little oilve oil (optional), to serve"
https://www.bbcgoodfood.com/recipes/creamy-linguine-ham-lemon-basil,Creamy Linguine Ham Lemon Basil,quick and easy,349.0,11.0g,4.0g,51.0g,2.0g,2.0g,15.0g,0.82g,"400g linguine or spaghetti, 90g pack prosciutto, 1 tbsp olive oil, juice 1 lemon, 2 egg yolks, 3 tbsp crème fraîche, large handful basil leaves, large handful grated parmesan plus extra to serve, if you like"
https://www.bbcgoodfood.com/recipes/creamy-mushroom-pasta,Creamy Mushroom Pasta,dinner,801.0,52.0g,30.0g,45.0g,4.0g,5.0g,29.0g,0.97g,"2 tbsp olive oil, 1 tbsp butter, 1 onion finely chopped, 250g button chestnut mushroom sliced, 1 garlic clove finely grated, 100ml dry white wine, 200ml double cream, 1 lemon zest only, 200g parmesan (or vegetarian alternative), grated, plus extra to serve, 300g tagliatelle or linguini, ½ small bunch parsley finely chopped"
https://www.bbcgoodfood.com/recipes/creamy-pesto-kale-pasta,Creamy Pesto Kale Pasta,dinner,428.0,13.0g,3.0g,55.0g,6.0g,11.0g,17.0g,0.7g,"1 tbsp rapeseed oil, 2 red onions thinly sliced, 300g kale, 300g wholemeal  pasta (penne or mafalda work well), 4 tbsp reduced-fat soft cheese, 4 tbsp fresh or jar pesto or vegetarian alternative"
https://www.bbcgoodfood.com/recipes/creamy-prawn-spring-vegetable-pot,Creamy Prawn Spring Vegetable Pot,batch cooking,233.0,2.0g,0.0g,31.0g,4.0g,4.0g,24.0g,1.43g,"850ml low-salt chicken or vegetable stock, 100g pearl barley, 750g new potato sliced, ½ spring green cabbage shredded, 140g frozen broad or soya beans, 100g frozen pea, 250g broccoli florets, 200g tub crème fraîche, small bunch dill snipped, zest 1 lemon plus squeeze of juice, 600g cooked, peeled prawn"
