url,title,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,ingredients
https://www.bbcgoodfood.com/recipes/spaghetti-aglio-e-olio-with-crispy-bacon,Spaghetti Aglio E Olio With Crispy Bacon,591,23.0g,4.0g,75.0g,3.0g,5.0g,17g,0.9g,"75ml extra virgin olive oil, 4 rashers streaky bacon, 400g spaghetti, 6 large garlic cloves finely grated, 25g fresh parsley finely chopped"
https://www.bbcgoodfood.com/recipes/spanish-rice-prawn-one-pot,Spanish Rice Prawn One Pot,398,8.0g,2.0g,63.0g,8.0g,3.0g,17g,0.97g,"1 onion sliced, 1 red and 1 green pepper deseeded and sliced, 50g chorizo sliced, 2 garlic cloves crushed, 1 tbsp olive oil, 250g easy cook basmati rice (we used Tilda), 400g can chopped tomato, 200g raw, peeled prawns defrosted if frozen"
https://www.bbcgoodfood.com/recipes/speedy-sausage-stroganoff-tagliatelle,Speedy Sausage Stroganoff Tagliatelle,826,42.0g,20.0g,80.0g,7.0g,10.0g,27g,1.2g,"20g unsalted butter, olive oil for drizzling, 6 pork sausages, 350g chestnut mushrooms sliced, 1 tsp sweet smoked paprika, 300ml soured cream, ½ tbsp wholegrain mustard, 150ml beef stock, 400g dried tagliatelle, small bunch parsley chopped"
https://www.bbcgoodfood.com/recipes/spiced-carrot-lentil-soup,Spiced Carrot Lentil Soup,263,8.0g,2.0g,31.0g,13.0g,9.0g,11g,0.91g,"2 tsp cumin seeds, pinch chilli flakes, 2 tbsp olive oil, 600g carrots washed and coarsely grated (no need to peel), 140g split red lentils, 1l hot vegetable stock (from a cube is fine), 125ml milk (to make it dairy-free, see 'try' below), plain yogurt and naan bread, to serve"
https://www.bbcgoodfood.com/recipes/spicy-black-bean-tacos,Spicy Black Bean Tacos,640,24.0g,5.0g,74.0g,12.0g,18.0g,21g,2.7g,"1 tbsp vegetable oil, 3 garlic cloves chopped, 3 x 400g cans black beans drained and rinsed, 3 tbsp cider vinegar, 1 ½ tbsp honey, 1 ½ tbsp smoked paprika, 1 ½ tbsp ground cumin"
https://www.bbcgoodfood.com/recipes/spicy-sausage-bean-one-pot,Spicy Sausage Bean One Pot,524,29.0g,10.0g,41.0g,15.0g,11.0g,24g,3.6g,"1 tbsp vegetable oil, 1 onion thickly sliced, 8 Cumberland sausages, 1 fat garlic clove crushed, 2 x 400g cans kidney beans in chilli sauce, 2-3 sprigs curly parsley chopped"
https://www.bbcgoodfood.com/recipes/spring-meatball-soup,Spring Meatball Soup,543,20.0g,6.0g,47.0g,8.0g,11.0g,39g,2.4g,"1 tbsp olive oil, 2 carrots finely chopped, 400g can white beans drained and rinsed, 1 litre good-quality chicken stock, 20 leftover meatballs (see below), 200g leftover tomato sauce (see below), 200g frozen peas, 250g spinach & ricotta tortellini, 200g spinach, 1 lemon zested and cut into wedges, small handful of dill finely chopped, parmesan and crusty bread to serve"
https://www.bbcgoodfood.com/recipes/summer-winter-chicken,Summer Winter Chicken,262,14.0g,4.0g,3.0g,2.0g,1.0g,31g,0.4g,"1 tbsp olive oil, 4 boneless skinless chicken breasts, 200g pack cherry tomatoes, 3 tbsp pesto, 3 tbsp crème fraîche (half fat is fine), fresh basil if you have it"
https://www.bbcgoodfood.com/recipes/super-quick-fish-curry,Super Quick Fish Curry,195,5.0g,0.4g,9.0g,8.0g,3.0g,28g,0.64g,"1 tbsp vegetable oil, 1 large onion chopped, 1 garlic clove chopped, 1-2 tbsp Madras curry paste (we used Patak's), 400g can tomato, 200ml vegetable stock, sustainable white fish fillets, skinned and cut into big chunks, rice or naan bread"
https://www.bbcgoodfood.com/recipes/swedish-meatball-burgers,Swedish Meatball Burgers,175,9.0g,3.0g,5.0g,2.0g,1.0g,18g,0.2g,"500g lean beef or pork mince, 1 onion coarsely grated, 1 egg beaten, 25g dried breadcrumbs, grated nutmeg, ¼ tsp garlic powder, burger buns sliced cheese, lettuce, sliced tomato and lingonberry sauce (optional), to serve"
https://www.bbcgoodfood.com/recipes/teriyaki-salmon-green-beans,Teriyaki Salmon Green Beans,288,15.0g,3.0g,9.0g,5.0g,1.0g,28g,0.8g,"4 salmon fillets (or a 500g piece to cut up yourself), 100g green beans ends trimmed, 1 lemon cut into wedges, 2 tbsp low-salt soy sauce, 1 tbsp honey, 1 tbsp mirin, 1 garlic clove crushed, noodles or rice, to serve"
https://www.bbcgoodfood.com/recipes/thai-prawn-noodles,Thai Prawn Noodles,345,6.0g,2.0g,42.0g,4.0g,6.0g,27g,1.4g,"200g dried egg noodles, 2 tsp vegetable oil, 25g ginger finely chopped or grated, 3 garlic cloves finely chopped, 2 red chillies finely chopped, 200g frozen peas, 300g peeled raw king prawns, 2 eggs lightly beaten, 2 tbsp reduced-salt soy sauce, 2 limes 1 juiced, 1 cut into wedges, 6 spring onions sliced, handful chopped  coriander to serve"
https://www.bbcgoodfood.com/recipes/tofu-stir-fry,Tofu Stir Fry,240,12.0g,2.0g,16.0g,12.0g,7.0g,15g,1.09g,"3 tbsp low-sodium soy sauce, 1½ tbsp honey, 1 tbsp white wine vinegar, 300g tofu cut into chunks, 2 tbsp sunflower oil, 2 garlic cloves sliced, 2cm piece ginger sliced, 2 carrots sliced into thin batons, 300g broccoli cut into small florets, 1 red pepper sliced into strips, 1 tsp cornflour"
https://www.bbcgoodfood.com/recipes/tomato-basil-sauce,Tomato Basil Sauce,55,3.0g,0.4g,5.0g,5.0g,1.0g,1g,0.02g,"1 tbsp olive oil, 1 garlic clove crushed, 400g can chopped tomatoes, 1 tsp vegetable stock powder or ½ crumbled stock cube, 1 tbsp tomato purée, few basil leaves"
https://www.bbcgoodfood.com/recipes/tuna-sundried-tomato-pasta-bake,Tuna Sundried Tomato Pasta Bake,813,38.0g,22.0g,78.0g,17.0g,9.0g,33g,1.0g,"500g dried rigatoni (or any other short pasta), 2 x 400g cans chopped tomatoes, 4 thyme sprigs leaves only, 300ml double cream, 280g jar sundried tomatoes drained and quartered, 198g can no-added-salt sweetcorn drained, 3 x 120g cans tuna in spring water, drained, 100g cheddar grated, 50g parmesan grated"
https://www.bbcgoodfood.com/recipes/veggie-fajitas,Veggie Fajitas,463,19.0g,6.0g,55.0g,8.0g,11.0g,12g,1.6g,"400g can black beans drained, small bunch coriander finely chopped, 4 large or 8-12 small flour tortillas, 1 avocado sliced, or 1 small tub guacamole, 2 tbsp soured cream or crème fraîche"
https://www.bbcgoodfood.com/recipes/veggie-hummus-pasta-salad,Veggie Hummus Pasta Salad,385,12.0g,2.0g,51.0g,3.0g,9.0g,13g,0.7g,"400g can chickpeas drained and liquid reserved, 1 tbsp tahini, 2 tbsp extra virgin olive oil, ½ garlic clove, ½ lemon zested and juiced, 250g short pasta of your choice, 50g baby spinach roughly chopped, 200g cherry tomatoes halved (we used a mixture of red and yellow), ¼ cucumber quartered lengthways and cut into small triangles, 75g pitted olives of your choice, roughly chopped"
