url,title,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,ingredients
https://www.bbcgoodfood.com/recipes/easy-teriyaki-chicken,Easy Teriyaki Chicken,243,14.0g,3.0g,11.0g,11.0g,1.0g,18g,1.23g,"2 tbsp toasted sesame oil, 6 skinless and boneless chicken thighs sliced, 2 large garlic cloves crushed, 1 thumb-sized piece ginger grated, 50g runny honey, 30ml light soy sauce, 1 tbsp rice wine vinegar, 1 tbsp sesame seeds to serve, 4 spring onions shredded, to serve, sticky rice to serve, steamed bok choi or spring greens, to serve"
https://www.bbcgoodfood.com/recipes/easy-thai-prawn-curry,Easy Thai Prawn Curry,156,8.0g,4.0g,7.0g,6.0g,2.0g,13g,1.19g,"1 tbsp vegetable oil, 1 onion chopped, 1 tsp fresh root ginger, 1-2 tsp Thai red curry paste (we used Sharwood's), 400g can chopped tomatoes, 50g sachet coconut cream, 400g raw frozen prawns, coriander chopped, to serve (optional)"
https://www.bbcgoodfood.com/recipes/falafel-burgers-0,Falafel Burgers 0,175,8.0g,1.0g,18.0g,1.0g,4.0g,6g,0.4g,"400g can chickpeas rinsed and drained, 1 small red onion roughly chopped, 1 garlic clove chopped, handful of flat-leaf parsley or curly parsley, 1 tsp ground cumin, 1 tsp ground coriander, ½ tsp harissa paste or chilli powder, 2 tbsp plain flour, 2 tbsp sunflower oil, toasted pitta bread to serve, 200g tub tomato salsa to serve, green salad to serve"
https://www.bbcgoodfood.com/recipes/fastest-ever-lemon-pudding,Fastest Ever Lemon Pudding,457,25.0g,14.0g,55.0g,34.0g,1.0g,6g,0.75g,"100g caster sugar, 100g softened butter, 100g self-raising flour, 2 eggs, zest of 1 lemon, 1 tsp vanilla essence, 4 tbsp lemon curd, crème fraîche or ice cream, to serve"
https://www.bbcgoodfood.com/recipes/fish-tacos-2,Fish Tacos 2,665,36.0g,10.0g,48.0g,7.0g,11.0g,33g,1.6g,"1 tsp ground cumin, 1 tsp ground coriander, 2 tsp smoked paprika, 2 limes, 500g white fish fillets such as cod, haddock, pollack or tilapia, skin and bones removed, ¼ red cabbage, 2 large tomatoes, 2 large avocados, 2 tbsp vegetable oil, 8 small corn or wheat tortilla wraps, small bunch coriander chopped, 1 green chilli finely sliced, optional, 100g soured cream, chilli sauce to serve"
https://www.bbcgoodfood.com/recipes/fridge-raid-fried-rice,Fridge Raid Fried Rice,388,20.0g,3.0g,29.0g,7.0g,7.0g,20g,0.6g,"2 tbsp vegetable oil, 1 white onion finely chopped, 1 carrot finely chopped, 100g green beans chopped, 1 red or yellow pepper finely chopped, ½ medium broccoli chopped into small florets, 150g cooked chicken (or any other meat), roughly chopped, optional, 300g cold cooked rice, 2 eggs beaten, 1 tbsp sesame oil, 1 tbsp oyster sauce, 1 spring onion finely sliced, 1 tsp toasted sesame seeds"
https://www.bbcgoodfood.com/recipes/german-cheese-bacon-pancakes,German Cheese Bacon Pancakes,545,44.0g,22.0g,17.0g,5.0g,2.0g,18g,2.01g,"200g pack diced smoked bacon lardons, 200ml crème fraîche, pinch of ground nutmeg, 1 tsp caraway seeds (optional), 4 pre-made large pancakes, 2 shallots finely sliced, 50g finely grated gruyère, 1 whole cucumber peeled, halved and sliced, 2 tbsp white wine vinegar, 2 tbsp chopped fresh dill"
https://www.bbcgoodfood.com/recipes/gnocchi-fish-pie,Gnocchi Fish Pie,435,14.0g,6.0g,44.0g,9.0g,7.0g,29g,1.4g,"350g gnocchi, 200ml semi-skimmed milk, 2 tbsp cornflour, 400g fish pie mix or a mix of salmon, smoked haddock and prawns, 4 spring onions sliced, 1 tbsp chopped chives or 1/2 tbsp finely chopped tarragon, 150ml reduced-fat  crème fraîche, 1 tsp capers drained, 200g frozen  peas, 1 tsp olive oil, 250g long-stem  broccoli or green beans, steamed, to serve"
https://www.bbcgoodfood.com/recipes/gnocchi-roasted-red-pepper-sauce,Gnocchi Roasted Red Pepper Sauce,349,10.0g,5.0g,50.0g,10.0g,6.0g,13g,1.3g,"500g pack gnocchi, ½ batch roasted red pepper sauce (see 'Goes well with…' below), 125g ball mozzarella, 2 handfuls breadcrumbs"
https://www.bbcgoodfood.com/recipes/greek-style-beans,Greek Style Beans,254,10.0g,3.0g,26.0g,10.0g,10.0g,12g,0.41g,"2 tbsp olive oil, 1 large red onion finely chopped, 3 garlic cloves finely chopped, 1½ tsp dried oregano, 2 tbsp tomato purée, 400g can chopped tomatoes, 300ml low-salt vegetable stock, ½ tsp caster sugar, 2 x 400g can butter beans drained and rinsed, ½ lemon juiced, 50g feta crumbled, small handful of dill finely chopped, toasted sourdough to serve"
